name,nationality,birth_date,height,hand,rank,position,prize_money_year,prize_money_total,residence,birthplace,best_rank
Harold Mayot,FRA,4 Feb 2002,1.78,Right-Handed,88,425,14.5K €,24.8K €,"Marly, France","Metz, France",411 in 14/09/2020
Giulio Zeppieri,ITA,7 Dec 2001,1.83,Left-Handed,135,323,15.8K €,33.6K €,Latina Italy,"Rome, Italy",316 in 28/09/2020
Mohamed Safwat,EGY,19 Sep 1990,1.8,Right-Handed,410,157,132.4K €,588.7K €,"Cairo, Egypt","Mansoura, Egypt",130 in 10/02/2020
Albano Olivetti,FRA,24 Nov 1991,2.03,Right-Handed,14,921,430 €,372.7K €,"Srasbourg , France","Haguenau, France",161 in 26/05/2014
Filip Peliwo,CAN,30 Jan 1994,1.8,Right-Handed,116,355,2K €,258.5K €,"Vancouver & Montreal, Canada","North Vancouver, Canada",161 in 21/05/2018
Sebastian Prechtel,GER,14 May 1996,1.85,Right-Handed,22,785,1.1K €,22K €,"Starnberg, Deutschland",Gräfelfing,694 in 30/09/2019
Antoine Bellier,SUI,18 Oct 1996,1.96,Left-Handed,54,548,3.2K €,69.2K €,Geneva,Geneva,503 in 19/09/2016
Gabriel Donev,BUL,29 Jun 1996,,,11,984,345 €,16.3K €,,,782 in 07/10/2019
Kristijan Mesaros,CRO,2 Jul 1988,1.88,Right-Handed,,,,133.8K €,,"Slavonski Brod, Croatia",
Jannis Liniger,,,,,,,,,,,
Sam Riffice,USA,1 Mar 1999,1.88,Right-Handed,39,613,,30.5K €,United States,"Sacramento, CA, U.S.A.",496 in 01/07/2019
Canada,,,,,,,,,,,
Alexander Sadecky,,,,,,,,,,,
Caio Silva,BRA,15 Oct 1991,1.8,Right-Handed,,,,51.8K €,"Santos, Brazil","Santos, Brazil",
Miguel Semedo,POR,23 Apr 1996,,Right-Handed,,,,8.1K €,,,
Lukas Ruepke,GER,6 Jul 1993,1.8,Right-Handed,,,,13.7K €,"Bremen, Germany","Bremen, Germany",
Oliver Anderson,,,,,,,,,,,
Alexander Vasilenko,RUS,26 Feb 1995,,Right-Handed,16,866,,53.3K €,,,441 in 22/12/2014
Ivan Denisov,,,,,,,,,,,
Matteo Berrettini,ITA,12 Apr 1996,1.96,Right-Handed,3075,10,416.7K €,4M €,"Rome, Italy","Rome, Italy",8 in 04/11/2019
Tatsuma Ito,JPN,18 May 1988,1.8,Right-Handed,342,186,76.6K €,1.4M €,"Tokyo, Japan","Mie, Japan",60 in 22/10/2012
Scott Griekspoor,NED,10 Jan 1991,1.88,Right-Handed,30,689,,100.5K €,"Nieuw Vennep, Netherlands","Haarlem, Netherlands",205 in 06/08/2018
Maxime Authom,BEL,29 Mar 1987,,Right-Handed,,,,293.9K €,,,
Matteo Donati,ITA,28 Feb 1995,1.85,Right-Handed,20,800,,303.2K €,"Alessandria, Italy","Alessandria, Italy",159 in 27/07/2015
Wayne Odesnik,,,,,,,,,,,
Gianluca Naso,ITA,6 Jan 1987,1.93,Right-Handed,,,,335.4K €,Erice,Erice,
Alan Nunez Aguilera,,,,,,,,,,,
Adrián Menéndez-Maceiras,ESP,28 Oct 1985,1.83,Right-Handed,204,265,19.1K €,1M €,"Marbella, Spain","Marbella, Spain",111 in 08/06/2015
Thomas Fancutt,AUS,25 Feb 1995,1.88,Right-Handed,53,551,2.4K €,58.5K €,Brisbane,"Brisbane, Australia",491 in 28/01/2019
Kelsey Stevenson,CAN,29 May 1990,1.83,Right-Handed,34,654,1.1K €,37.9K €,"Brighton, Canada","Toronto, Canada",661 in 24/08/2020
Pedro Bernardi,,,,,,,,,,,
Thomas Laurent,FRA,16 Dec 1997,1.91,Right-Handed,71,480,5.5K €,11.4K €,"Montpellier, France",Montpellier,471 in 09/03/2020
Nicholas Alexander Reyes,USA,17 Jan 1995,1.88,Right-Handed,4,1308,,10.8K €,"West Hollywood, CA, USA","Washington D.C., USA",1223 in 25/11/2019
Luciano Doria,ARG,27 Jan 1993,1.8,Right-Handed,3,1566,217 €,13.7K €,Argentina,"Buenos Aires, Argentina",1026 in 01/10/2018
Robin Kern,GER,3 Oct 1993,1.88,Right-Handed,,,347 €,87.8K €,"Mannheim, Germany","Nuremberg, Germany",
Daniel Gimeno-Traver,ESP,7 Aug 1985,1.83,Right-Handed,84,439,,2.7M €,"Nules, Castellon, Spain","Valencia, Spain",48 in 18/03/2013
Luis Patiño,MEX,6 Oct 1993,1.83,Right-Handed,9,1055,780 €,88.3K €,"Mazatlan, Mexico","Mazatlan, Mexico",
Andrew Watson,GBR,28 Aug 1996,1.93,Right-Handed,17,856,,23.1K €,"Reigate, Surrey, UK","Redhill, Great Britain",535 in 12/08/2019
Juan Ignacio Galarza,ARG,18 Mar 1994,1.83,Right-Handed,51,559,717 €,88.2K €,"Buenos Aires, Argentina","Buenos Aires, Argentina",334 in 16/05/2016
Omar Al Awadhi,,,,,,,,,,,
Chun Hsin Tseng,TPE,8 Aug 2001,1.75,Right-Handed,185,280,4.5K €,72.1K €,"Taipei, Chinese Taipei","Taipei, Chinese Taipei",272 in 24/02/2020
Ali Al-Saygh,,,,,,,,,,,
Matthew Barton,AUS,18 Dec 1991,1.91,Right-Handed,,,,224.5K €,"Collaroy, Australia","Sydney, Australia",
Artem Smirnov,UKR,2 Feb 1988,1.88,Left-Handed,30,687,130 €,174.7K €,"Kiev,Ukraine","Kiev,Ukraine",226 in 09/05/2016
Gavin Van Peperzeel,AUS,29 Mar 1992,1.8,Right-Handed,,,,92.6K €,"Bribie Island, Queensland, AUS","Nambour, Australia",
Manuel Arias,,,,,,,,,,,
Costin Paval,ROU,1 Sep 1990,1.91,Left-Handed,2,1459,365 €,27.6K €,,"Bucharest, Romania",722 in 09/06/2014
Felipe Rojas,,,,,,,,,,,
Marcelo Demoliner,,,,,,,,,,,
Péter Nagy,HUN,17 Mar 1992,1.8,Right-Handed,53,550,1.3K €,67.1K €,"Budapest, Hungary","Budapest, Hungary",409 in 15/05/2017
Jason Jung,TPE,15 Jun 1989,1.8,Right-Handed,490,132,125.3K €,605.6K €,"Torrance, CA, USA","Torrance, CA, USA",114 in 30/07/2018
James Mcgee,IRL,10 Jun 1987,1.83,Right-Handed,,,,317.1K €,"Dublin, Ireland","Dublin, Ireland",
Lukas Jastraunig,,,,,,,,,,,
Sam Barry,IRL,27 Jan 1992,1.91,Right-Handed,,,,100.8K €,"Limerick, Ireland","Limerick, Ireland",
James Duckworth,AUS,21 Jan 1992,1.83,Right-Handed,701,103,157.6K €,1.4M €,"Sydney, Australia","Sydney, Australia",71 in 17/02/2020
Taylor Fritz,USA,28 Oct 1997,1.93,Right-Handed,1670,29,562.3K €,3.2M €,"Rancho Palos Verdes, CA, USA","Rancho Santa Fe, CA, USA",24 in 02/03/2020
Theodoros Angelinos,,,,,,,,,,,
Jonathan Eysseric,FRA,27 May 1990,1.8,Left-Handed,40,611,2.4K €,525.9K €,"Grasse, France","Saint-Germain-En-Laye, France",202 in 10/06/2013
Julien Obry,FRA,4 Sep 1991,1.73,Right-Handed,,,,75.7K €,"Albert, France","Corbie, France",
Yannick Maden,GER,28 Oct 1989,1.85,Right-Handed,378,171,41.4K €,525.9K €,"Stuttgart, Germany","Stuttgart, Germany",96 in 24/06/2019
Andre Miele,BRA,12 Apr 1987,,Right-Handed,5,1207,,145.7K €,,,229 in 04/08/2008
Anil Yuksel,TUR,19 May 1990,,Left-Handed,,,,70.5K €,"Istanbul, Turkey","Venlo, Netherlands",
Guillaume Rufin,FRA,26 May 1990,1.88,Right-Handed,,,,608.9K €,"Charnay, France","Viriat, France",
Salvatore Caruso,ITA,15 Dec 1992,1.85,Right-Handed,843,76,368.4K €,1M €,"Avola, Italy","Avola, Italy",77 in 12/10/2020
Norway,,,,,,,,,,,
Micke Kontinen,FIN,18 Dec 1992,,,,,,41.1K €,,,
Matt Reid,AUS,17 Jul 1990,1.83,Right-Handed,,,,416.2K €,"Sydney, Australia","Sydney, Australia",
Niels Lootsma,,15 Aug 1994,1.93,Right-Handed,30,694,,63.6K €,"Amsterdam, Netherlands","Groningen, Netherlands",423 in 24/07/2017
Thomas Fabbiano,ITA,26 May 1989,1.73,Right-Handed,379,170,25.8K €,1.8M €,"San Giorgio Jonico, Italy","Grottaglie, Italy",70 in 18/09/2017
Tom Fawcett,USA,18 Oct 1995,1.96,Right-Handed,6,1163,,34.8K €,"Winnetka, Il. USA","Skokie, Illinois",440 in 07/01/2019
Ryusei Makiguchi,JPN,3 May 1991,1.75,Right-Handed,,,,45.6K €,"Buenos Aires, Argentina","Cochabamba, Bolivia",
Ricardo Hocevar,BRA,9 May 1985,1.8,Right-Handed,,,,303K €,"Sao Paulo, Brazil","Sao Paulo, Brazil",
Akira Santillan,AUS,22 May 1997,1.8,Right-Handed,182,281,14.6K €,313.4K €,"Brisbane, Australia","Tokyo, Japan",144 in 13/11/2017
Neven Krivokuća,,15 Sep 1995,1.8,Left-Handed,,(3),,9.8K €,"Pula, Croatia","Stuttgart, Germany",955 in 13/08/2018
Vitaliy Sachko,UKR,14 Jul 1997,1.83,Right-Handed,99,400,2.5K €,25.7K €,"Prostejov, Czech Republic","Kremenchuk, Ukraine",531 in 28/09/2020
Milos Sekulic,SWE,4 Nov 1989,1.78,Right-Handed,,,,54.9K €,"Stockholm, Sweden","Stockholm, Sweden",
Andrew Carter,,,,,,,,,,,
Chieh-Fu Wang,,,,,,,,,,,
Ante Pavić,CRO,7 Mar 1989,1.96,Right-Handed,28,712,,394K €,"Zagreb, Croatia","Ogulin, Croatia",132 in 13/10/2014
Karl Friberg,SWE,25 Mar 1999,1.91,Right-Handed,31,686,693 €,25.5K €,Stockholm,"Orebro, Sweden",631 in 05/08/2019
Sergey Betov,BLR,15 Oct 1987,1.85,Right-Handed,,,,189.2K €,"Minsk, Belarus","Gomel, Belarus",
Zhuo Zhang,,,,,,,,,,,
Marinko Matosević,AUS,8 Aug 1985,1.93,Right-Handed,,,,1.7M €,"Melbourne, Australia","Jajce, Bosnia-Herzegovina",
Gian Marco Moroni,ITA,13 Feb 1998,1.85,Right-Handed,250,230,11.3K €,102.3K €,Guidonia Montecelio,"Rome, Italy",209 in 24/08/2020
Lakshit Sood,,,,,,,,,,,
Barkin Yalcinkale,,,,,,,,,,,
Igor Tubic,,,,,,,,,,,
Tomas Martin Etcheverry,ARG,18 Jul 1999,1.96,Right-Handed,212,257,12.1K €,54.4K €,La Plata - Buenos Aires,La Plata,258 in 28/09/2020
Daniel Muñoz de la Nava,ESP,29 Jan 1982,1.75,Left-Handed,9,1030,,920.5K €,"Madrid, Spain","Madrid, Spain",68 in 29/02/2016
Sandro Ehrat,SUI,18 Apr 1991,1.8,Right-Handed,108,375,4.3K €,108.2K €,,"Schaffhausen, Switzerland",286 in 09/09/2019
Artur Completo,,,,,,,,,,,
Lukáš Lacko,SVK,3 Nov 1987,1.88,Right-Handed,324,200,34.5K €,2.8M €,"Bratislava, Slovakia","Piestany, Slovakia",44 in 14/01/2013
Konstantin Kravchuk,RUS,23 Feb 1985,1.91,Right-Handed,120,349,48.4K €,974K €,"Moscow, Russia","Moscow, Russia",78 in 07/11/2016
Mikolaj Borkowski,,,,,,,,,,,
Ryan Goetz,USA,16 Dec 1999,,,,,,1.9K €,,,
Marin Čilić,CRO,28 Sep 1988,1.98,Right-Handed,1325,42,612.3K €,23.5M €,"Monte Carlo, Monaco","Medjugorje, Bosnia-Herzegovina",3 in 29/01/2018
Alejandro Davidovich Fokina,ESP,5 Jun 1999,1.83,Right-Handed,1066,52,339.3K €,659K €,Fuengirola,"Malaga, Spain",69 in 21/09/2020
Vadim Alekseenko,UKR,19 May 1983,1.91,Right-Handed,,,,64.5K €,"Odessa, Ukraine","Odessa, Ukraine",
José Ricardo Nunes,,,,,,,,,,,
Mithun Murali,,,,,,,,,,,
Michael Mmoh,USA,10 Jan 1998,1.88,Right-Handed,368,174,170.9K €,749.8K €,"Bradenton, FL, USA","Riyadh, Saudi Arabia",96 in 01/10/2018
Simon Yitbarek,SWE,31 Oct 2000,1.8,Right-Handed,23,770,925 €,10.1K €,Stockholm,Gothenburg,661 in 06/05/2019
Andriej Kapas,POL,11 Aug 1989,1.88,Right-Handed,,,,93K €,"Zabrze, Poland","Kiev, Ukraine",
Scott Clayton,,,,,,,,,,,
Andreas Haider-Maurer,AUT,22 Mar 1987,1.91,Right-Handed,,,,1.6M €,"Innsbruck, Austria","Zwettl, Austria",
João Monteiro,POR,27 Dec 1993,1.78,Right-Handed,17,855,2.6K €,68.5K €,Portugal,"Porto, Portugal",237 in 13/11/2017
Mitchell Krueger,USA,12 Jan 1994,1.88,Right-Handed,337,192,128.5K €,657.8K €,"Dallas, TX, USA","Fort Worth, TX, USA",159 in 18/02/2019
Daniel Altmaier,GER,12 Sep 1998,1.91,Right-Handed,501,130,26.4K €,144.7K €,"Kempen, Germany","Kempen, Germany",183 in 14/09/2020
Daniel Kosakowski,,,,,,,,,,,
Miguel Semmler,ESP,2 May 1997,1.8,Right-Handed,,,,48K €,Madrid,"Madrid, Spain",
Rogério Dutra Silva,BRA,5 Feb 1984,1.78,Right-Handed,81,446,,1.5M €,"Santa Barbara d'Oeste, Brazil","Sao Paulo, Brazil",63 in 24/07/2017
Aitor Aramburu,,,,,,,,,,,
Hiroki Moriya,JPN,16 Oct 1990,1.68,Right-Handed,233,239,50.8K €,705K €,"Tokyo, Japan","Tokyo, Japan",143 in 05/01/2015
Ajeet Rai,NZL,18 Jan 1999,1.88,Right-Handed,13,941,1.9K €,17.6K €,New Zealand,New Plymouth,694 in 19/11/2018
Paul-Henri Mathieu,FRA,12 Jan 1982,1.85,Right-Handed,,,,5.2M €,"Boulogne-Billancourt, France","Strasbourg, France",
Simon Ede,,,,,,,,,,,
Yuichi Sugita,JPN,18 Sep 1988,1.75,Right-Handed,713,101,168.2K €,2.2M €,"Tokyo, Japan","Sendai, Japan",36 in 09/10/2017
Łukasz Kubot,POL,16 May 1982,1.91,Right-Handed,,,,6.2M €,"Lubin, Poland","Boleslawiec, Poland",
Alan Fernando Rubio Fierros,,,,,,,,,,,
Liam Caruana,ITA,22 Jan 1998,1.78,Right-Handed,85,434,4K €,85.8K €,USA,"Rome, Italy",375 in 12/02/2018
Alexander Ovcharov,RUS,17 Jun 1998,1.88,Right-Handed,3,1434,,9.5K €,"Moscow, Russia","Lipetsk, Russia",1179 in 26/09/2016
Bradley Mousley,AUS,3 Jan 1996,1.88,Right-Handed,17,847,1.2K €,183.9K €,"Adelaide, Australia","Modbury, South Australia",259 in 26/02/2018
Paul Capdeville,,,,,,,,,,,
Alessio Di Mauro,,,,,,,,,,,
Bobby Reynolds,,,,,,,,,,,
Pol Toledo Bague,ESP,22 Dec 1994,1.78,Right-Handed,69,495,3.4K €,92.4K €,Girona,"Maçanet de la Selva, Spain",372 in 06/08/2018
Alex Rybakov,USA,27 Jan 1997,1.85,Left-Handed,69,490,4.2K €,51.7K €,"Coral Springs, FL, USA","Plainview, New York",454 in 01/04/2019
Noah Rubin,USA,21 Feb 1996,1.75,Right-Handed,219,249,27.5K €,641.5K €,"Long Island, NY, USA","Long Island, NY, USA",125 in 08/10/2018
Adrian Mannarino,FRA,29 Jun 1988,1.8,Left-Handed,1516,35,397.5K €,6.3M €,"Valletta, Malta","Soisy-sous-Montmorency, France",22 in 19/03/2018
Matthias Bachinger,GER,2 Apr 1987,1.88,Right-Handed,189,278,30.4K €,1.4M €,"Munich, Germany","Munich, Germany",85 in 15/08/2011
Sumit Nagal,IND,16 Aug 1997,1.78,Right-Handed,475,136,106.5K €,301.2K €,"New Delhi, India","Jhajjar, India",122 in 24/08/2020
Jakub Paul,SUI,22 Mar 1999,1.8,Right-Handed,32,671,1.4K €,32.3K €,"Chur, Switzerland","Chur, Switzerland",558 in 14/01/2019
Joachim Bjerke,,,,,,,,,,,
Benjamin Mitchell,AUS,30 Nov 1992,1.83,Right-Handed,,,,252K €,"Gold Coast, Australia","Gold Coast, Australia",
Thai-Son Kwiatkowski,USA,13 Feb 1995,1.88,Right-Handed,283,212,83.5K €,263.9K €,"Charlottesville, VA, USA","Charlotte, NC, USA",181 in 03/02/2020
Gonçalo Oliveira,POR,17 Feb 1995,1.85,Left-Handed,176,287,7K €,265K €,"Alvor, Portugal","Porto, Portugal",194 in 25/12/2017
Aljaž Bedene,SLO,18 Jul 1989,1.83,Right-Handed,1045,58,294.9K €,3.4M €,"London, England","Ljubljana, Slovenia",43 in 19/02/2018
Connor Farren,USA,3 Oct 1994,1.83,Right-Handed,27,726,990 €,39.4K €,USA,"Redwood City, CA",685 in 02/12/2019
Sergio Gutiérrez-Ferrol,ESP,5 Mar 1989,,Right-Handed,25,739,,216.5K €,,,156 in 13/08/2018
Marko Tepavac,SRB,5 Apr 1994,1.93,Right-Handed,81,449,1.1K €,118.2K €,"Belgrade, Serbia","Belgrade, Serbia",174 in 24/10/2016
Prajnesh Gunneswaran,IND,12 Nov 1989,1.88,Left-Handed,506,129,83.3K €,615.2K €,"Chennai, India","Chennai, India",75 in 22/04/2019
Matija Pecotić,CRO,3 Jul 1989,1.85,Left-Handed,128,336,4.7K €,78.8K €,Malta,"Belgrade, Serbia",206 in 23/11/2015
Santiago Giraldo,COL,27 Nov 1987,1.88,Right-Handed,140,317,1.9K €,3.8M €,"Pereira, Colombia","Pereira, Colombia",28 in 29/09/2014
Viktor Đurasović,NOR,19 Mar 1997,1.85,Right-Handed,127,338,23K €,94.8K €,"Barcelona, Spain","Orkdal, Norway",298 in 14/10/2019
Andre Goransson,SWE,30 Apr 1994,1.88,Right-Handed,,,325 €,26.4K €,"Hollviken, Sweden","Rang, Sweden",
Tiago Lourenco,,,,,,,,,,,
Frederik Nielsen,DEN,27 Aug 1983,1.88,Right-Handed,,,975 €,978.2K €,"Lyngby, Denmark","Lyngby, Denmark",
Alexander Lobkov,RUS,7 Oct 1990,,,,,,88.1K €,,,
Darian King,BAR,26 Apr 1992,1.88,Right-Handed,176,285,13.3K €,523.1K €,"Bridgetown, Barbados","Bridgetown, Barbados",106 in 08/05/2017
Gregoire Burquier,,,,,,,,,,,
Maximilian Dinslaken,,,,,,,,,,,
Nicolas Daniel Olguin,,,,,,,,,,,
Sasikumar Mukund,IND,14 Jan 1997,1.85,Right-Handed,157,300,9.4K €,95.2K €,"Hyderabad, India","Chennai, India",229 in 07/10/2019
Pablo Andújar,ESP,23 Jan 1986,1.8,Right-Handed,1024,60,254K €,4.7M €,"Valencia, Spain","Cuenca, Spain",32 in 13/07/2015
Raheel Manji,CAN,26 May 1997,1.8,Right-Handed,,,,4.9K €,"Pickering, Canada","Scarborough, Canada",
Dmitry Popko,KAZ,24 Oct 1996,1.91,Right-Handed,376,172,75.7K €,270.2K €,"Astana, Kazakhstan","St. Petersburg, Russia",165 in 31/08/2020
Amine Ahouda,MAR,11 Sep 1997,1.85,Right-Handed,,,,33.8K €,"Casablanca, Morocco","Casablanca, Morocco",
Emilio Gomez,ECU,28 Nov 1991,1.85,Right-Handed,395,160,24.8K €,282.4K €,Guayaquil,"Guayaquil, Ecuador",143 in 14/10/2019
Jared Hiltzik,USA,8 Jul 1994,1.85,Right-Handed,4,1275,,72.2K €,"Orlando, FL, USA","Wilmette, IL, USA",339 in 19/03/2018
Sevan Kelpetindjian,,,,,,,,,,,
Corentin Moutet,FRA,19 Apr 1999,1.75,Left-Handed,838,77,333.2K €,1.1M €,"Boulogne-Billancourt, France","Paris, France",69 in 14/09/2020
Scott Lipsky,,,,,,,,,,,
Harry Skinner,,,,,,,,,,,
Marcus Willis,GBR,9 Oct 1990,1.91,Left-Handed,,,,182.9K €,"Warwick, Great Britain","Slough, Great Britain",
Kevin Jack Carpenter,,,,,,,,,,,
Marco Bortolotti,ITA,21 Jan 1991,1.73,Right-Handed,56,542,2.4K €,119K €,Peschiera Del Garda,Guastalla,355 in 25/04/2016
Ivo Karlović,CRO,28 Feb 1979,2.11,Right-Handed,444,145,155.7K €,8.4M €,"Miami, FL, USA; Grand Bahama,","Zagreb, Croatia",14 in 18/08/2008
Andrew Whittington,AUS,11 Aug 1993,1.88,Right-Handed,,,217 €,402.3K €,"Williamstown, Australia","Williamstown, Australia",
Aleksei Khomich,BLR,10 Jan 1997,1.91,Right-Handed,6,1187,690 €,11.1K €,Belarus,"Minsk, Belarus",1130 in 30/04/2018
Steven Diez,CAN,17 Mar 1991,1.75,Right-Handed,358,177,127.1K €,557.4K €,"Malaga, Spain","Toronto, Canada",134 in 18/11/2019
Denis Matsukevitch,RUS,28 Mar 1986,1.91,Right-Handed,,,358 €,224.8K €,,,
Juan Bautista Otegui,ARG,23 Feb 1999,1.91,Right-Handed,19,822,433 €,15.4K €,Rauch,Rauch,638 in 19/08/2019
John Peers,,,,,,,,,,,
Roberto Bautista Agut,ESP,14 Apr 1988,1.83,Right-Handed,2710,13,1M €,11.1M €,"Castellon de la Plana, Spain","Castellon de la Plana, Spain",9 in 04/11/2019
Oriol Roca Batalla,ESP,30 Apr 1993,1.73,Right-Handed,134,326,1.8K €,190.5K €,Santa Coloma de Gramenet,Barcelona,193 in 03/08/2015
Botic Van De Zandschulp,NED,4 Oct 1995,1.88,Right-Handed,416,153,30.2K €,110.2K €,"Veenendaal, Netherlands","Wageningen, Netherlands",164 in 14/09/2020
Franko Škugor,CRO,20 Sep 1987,1.96,Right-Handed,,,,1.2M €,"Zagreb, Croatia","Sibenik, Croatia",
Vasco Mensurado,,,,,,,,,,,
Albert Alcaraz Ivorra,ESP,15 May 1995,1.91,Right-Handed,23,761,,51.1K €,"San Juan de Alicante, Spain","San Juan de Alicante, Spain",377 in 12/10/2015
Pavel Kotov,RUS,18 Nov 1998,1.91,Right-Handed,202,271,3.8K €,56.7K €,Russia,"Moscow, Russia",245 in 06/01/2020
Rik De Voest,,,,,,,,,,,
Mladen Mitak,,,,,,,,,,,
Cesar Ramirez,,,,,,,,,,,
Dmitro Kamynin,UKR,28 Oct 1989,,,,,475 €,11.8K €,,,
Mischa Zverev,GER,22 Aug 1987,1.91,Left-Handed,208,264,25.5K €,4.7M €,"Monte Carlo, Monaco","Moscow, Russia",25 in 24/07/2017
Borna Gojo,CRO,27 Feb 1998,1.96,Right-Handed,257,221,7.1K €,52.4K €,Split,split,264 in 20/01/2020
Vadym Ursu,UKR,1 Jan 1997,1.8,Right-Handed,9,1036,1.3K €,33K €,"Slovakia , Bratislava","Kiev, Ukraine",605 in 07/11/2016
Vladimir Ivanov,EST,10 Apr 1987,,Right-Handed,29,705,1.3K €,96.2K €,,,310 in 27/07/2015
Antonio Ruiz-Rosales,,,,,,,,,,,
Bjorn Phau,,,,,,,,,,,
Roman Safiullin,RUS,7 Aug 1997,1.85,Right-Handed,350,182,15.4K €,133.1K €,"Podolsk, Russia","Podolsk, Russia",170 in 24/02/2020
Stan Wawrinka,SUI,28 Mar 1985,1.83,Right-Handed,2320,18,597.1K €,28.8M €,"Monte Carlo, Monaco","Lausanne, Switzerland",3 in 27/01/2014
Joe Salisbury,,,,,,,,,,,
Marc López,,,,,,,,,,,
Yoshihito Nishioka,JPN,27 Sep 1995,1.7,Left-Handed,1062,56,491.2K €,2.3M €,"Mie, Japan","Mie, Japan",48 in 24/02/2020
Duarte Vale,POR,11 Jan 1999,1.83,,,,,4.9K €,,,
Enrico Dalla Valle,ITA,21 Mar 1998,1.96,Right-Handed,84,440,1.8K €,48.6K €,Ravenna,Ravenna,404 in 12/08/2019
Leon Vessels,,,,,,,,,,,
Blazej Koniusz,,,,,,,,,,,
Christopher Eubanks,USA,5 May 1996,2.01,Right-Handed,247,234,57.2K €,503K €,"Atlanta, GA, USA","Atlanta, GA, USA",147 in 15/04/2019
Gilles Müller,LUX,9 May 1983,1.93,Left-Handed,,,,5M €,"Reckange-sur-Mess, Luxembourg","Luxembourg City, Luxembourg",
Zeka LI,,,,,,,,,,,
Denis Yevseyev,KAZ,22 May 1993,1.85,Right-Handed,106,381,4.4K €,124.6K €,Kazakhstan,Almaty,280 in 09/12/2019
Cannon Kingsley,USA,6 May 2001,1.88,Right-Handed,14,910,217 €,7.3K €,"Northport, New York",Mineola,593 in 27/05/2019
Alessandro Bega,ITA,11 Jan 1991,1.7,Right-Handed,121,348,8.7K €,164.7K €,"Gernusco Sul Naviglio, Italy","Cernusco sul Naviglio, Italy",259 in 25/07/2016
Miles Bugby,,,,,,,,,,,
Mitchell Frank,USA,16 Oct 1992,1.85,Right-Handed,,,,26.9K €,"Annandale, VA","Annandale, VA",
Jordi Arconada,USA,6 Sep 1996,1.8,Right-Handed,62,520,1.4K €,34.7K €,United States,"Buenos Aires, Argentina",405 in 05/08/2019
Íñigo Cervantes,ESP,30 Nov 1989,1.83,Right-Handed,62,517,2.1K €,895.3K €,"Javea, Spain","Hondarribia, Guipúzcoa, Spain",56 in 21/03/2016
Tristan Lamasine,FRA,5 Mar 1993,1.83,Right-Handed,204,266,16.6K €,384.8K €,"Choisy-le-Roi, France","Thiais, France",181 in 03/08/2015
Adam Lee,,,,,,,,,,,
Tristan Schoolkate,AUS,26 Feb 2001,1.83,Right-Handed,18,833,12.9K €,16.4K €,Scarborough,Perth,794 in 03/02/2020
Jeremy Jahn,GER,5 Apr 1990,1.78,Right-Handed,129,333,636 €,125.2K €,"Munich, Germany","Munich, Germany",197 in 30/01/2017
Simone Vagnozzi,,,,,,,,,,,
Jacopo Berrettini,ITA,27 Nov 1998,1.91,Right-Handed,71,483,5.9K €,43.3K €,Rome,"Rome, Italy",388 in 15/07/2019
Pedro Sousa,POR,27 May 1988,1.8,Right-Handed,618,113,127.9K €,619.9K €,"Lisbon, Portugal","Lisbon, Portugal",99 in 18/02/2019
Felix J.,,,,,,,,,,,
John Isner,USA,26 Apr 1985,2.08,Right-Handed,1850,25,453.1K €,16M €,"Dallas, TX, USA","Greensboro, NC, USA",8 in 16/07/2018
Jonny O'Mara,GBR,2 Mar 1995,1.83,Right-Handed,,,,139.6K €,"Arbroath, Scotland","Arbroath, Scotland",
Mark Whitehouse,GBR,1 May 1993,1.88,Right-Handed,41,606,2.6K €,36.8K €,"Reigate, England","Reigate, England",530 in 19/08/2019
Fred Simonsson,SWE,27 Nov 1994,1.88,Right-Handed,,,215 €,52.9K €,"Stockholm, Sweden","Stockholm, Sweden",
Mikhail Ledovskikh,RUS,8 Aug 1986,1.88,Right-Handed,,,,223.2K €,"Sochi, Russia","Almaty, Kazakhstan",
Victor Hugo Nunez,,,,,,,,,,,
Collin Altamirano,USA,7 Dec 1995,1.88,Right-Handed,101,395,3.8K €,143.4K €,"Sacramento, CA, USA","Sacramento, CA, USA",267 in 24/06/2019
David Perez Sanz,ESP,15 May 1994,,,22,782,735 €,147K €,,,216 in 06/06/2016
Sebastian Lavie,,,,,,,,,,,
Juan Ignacio Londero,ARG,15 Aug 1993,1.8,Right-Handed,832,79,249.8K €,1.3M €,"Buenos Aires, Argentina","Jesus Maria, Argentina",50 in 11/11/2019
Mateo Andres Ruiz Naranjo,,,,,,,,,,,
Juan Pablo Ficovich,ARG,24 Jan 1997,1.91,Right-Handed,304,205,26.3K €,108.9K €,Berazategui,"Buenos Aires, Argentina",196 in 31/08/2020
Greece,,,,,,,,,,,
Germain Gigounon,BEL,20 Apr 1989,1.78,Right-Handed,,,,198.8K €,,,
Elie Rousset,,,,,,,,,,,
Matias Rodolfo Buchhass,,,,,,,,,,,
Marc-Andrea Hüsler,SUI,24 Jun 1996,1.96,Left-Handed,444,146,21.3K €,129.7K €,"Rüschlikon, Switzerland","Zurich, Switzerland",179 in 28/09/2020
Vladimir Uzhylovsky,UKR,25 Mar 1988,1.96,Right-Handed,5,1231,1.3K €,71K €,"Kiev, Ukraine",Krivoy Rog,492 in 29/04/2013
