name,nationality,birth_date,height,hand,rank,position,prize_money_year,prize_money_total,residence,birthplace,best_rank
Peter Gojowczyk,GER,15 Jul 1989,1.88,Right-Handed,454,143,136.7K €,2.3M €,"Munich, Germany","Munich, Germany",39 in 25/06/2018
Aleksandre Metreveli,GEO,10 Aug 1993,1.83,Right-Handed,44,591,44K €,101.8K €,Georgia,"Tbilisi, Georgia",264 in 06/06/2016
Gaël Monfils,FRA,1 Sep 1986,1.93,Right-Handed,2860,11,1M €,15.9M €,Switzerland,"Paris, France",6 in 07/11/2016
Moritz Thiem,AUT,8 Dec 1999,,Right-Handed,3,1446,217 €,6.3K €,,,1225 in 30/09/2019
Antoine Leduc,,,,,,,,,,,
Tak Khunn Wang,FRA,13 Oct 1991,1.75,Right-Handed,40,609,260 €,95K €,Montereau,Paris,265 in 03/02/2014
Edward Corrie,GBR,21 Feb 1988,1.83,Right-Handed,,,,182.8K €,"Harpenden, England","Harpenden, England",
Martin Alund,ARG,26 Dec 1985,1.83,Right-Handed,,,,397.1K €,"Mendoza, Argentina","Mendoza, Argentina",
Kento Takeuchi,JPN,19 Dec 1987,,Left-Handed,29,706,575 €,139.6K €,Japan,,378 in 29/06/2015
Bradley Klahn,USA,20 Aug 1990,1.83,Left-Handed,436,147,80.6K €,1.4M €,"Los Angeles, CA, USA","Poway, CA, USA",63 in 17/03/2014
Adrian Bodmer,SUI,6 Mar 1995,1.8,Right-Handed,10,1023,488 €,40.1K €,Niederwil,Wil,455 in 07/05/2018
David Rice,GBR,1 Jan 1989,1.93,Right-Handed,,,,131.4K €,,High Wycombe,
Mate Delić,CRO,29 Apr 1993,1.96,Right-Handed,,,,161.1K €,"Split, Croatia","Split, Croatia",
Sergei Bubka,,,,,,,,,,,
Cameron Norrie,GBR,23 Aug 1995,1.88,Left-Handed,877,71,445.6K €,1.9M €,"London, England","Johannesburg, South Africa",41 in 20/05/2019
Joshua Milton,GBR,14 Oct 1989,,Right-Handed,,,,117.8K €,,,
Tomáš Berdych,CZE,17 Sep 1985,1.96,Right-Handed,,,,24.6M €,"Monte Carlo, Monaco","Valasske Mezirici, CZE",
Rafael Nadal,ESP,3 Jun 1986,1.85,Left-Handed,9850,2,2.7M €,102.4M €,"Manacor, Mallorca, Spain","Manacor, Mallorca, Spain",1 in 18/08/2008
Christian Lindell,SWE,20 Nov 1991,1.93,Right-Handed,139,319,4.4K €,245.6K €,"Rio De Janeiro, Brazil","Rio De Janeiro, Brazil",177 in 20/07/2015
Finn Tearney,NZL,27 Sep 1990,1.83,Right-Handed,9,1033,,59.6K €,"Wellington, New Zealand",Auckland,356 in 10/10/2016
Renta Tokuda,JPN,29 Mar 1998,1.78,Right-Handed,70,485,495 €,59.6K €,"Kanagawa, Japan","Hiroshima, Japan",289 in 27/08/2018
Woong-Sun Jun,,,,,,,,,,,
Jarryd Woog,,,,,,,,,,,
Christopher O'Connell,AUS,3 Jun 1994,1.83,Right-Handed,558,120,142.6K €,312.7K €,"Sydney, Australia","Sydney, Australia",111 in 14/09/2020
Holger Vitus Nodskov Rune,DEN,29 Apr 2003,1.85,Right-Handed,64,508,8.1K €,10.7K €,"Charlottenlund, Denmark","Copenhagen, Denmark",555 in 29/07/2019
Sadio Doumbia,FRA,12 Sep 1990,1.83,Right-Handed,102,391,3.8K €,119.1K €,"Toulouse, France","Toulouse, France",250 in 07/11/2016
Andy Murray,GBR,15 May 1987,1.91,Right-Handed,547,122,207.8K €,51.5M €,"London, England","Glasgow, Scotland",1 in 07/11/2016
Laslo Djere,SRB,2 Jun 1995,1.88,Right-Handed,1058,57,191.8K €,1.8M €,"Senta, Serbia","Senta, Serbia",27 in 10/06/2019
Stefan Fiacan,,,,,,,,,,,
Mate Pavić,CRO,4 Jul 1993,1.91,Left-Handed,,,,1.9M €,"Freeport, Bahamas","Split, Croatia",
Jesse Huta Galung,NED,6 Oct 1985,,Right-Handed,,,,789K €,"Poortugaal, The Netherlands","Haarlem, The Netherlands",
João Sousa,POR,30 Mar 1989,1.85,Right-Handed,776,90,240.5K €,5.9M €,"Barcelona, Spain","Guimaraes, Portugal",28 in 16/05/2016
Julio-Cesar Campozano,,,,,,,,,,,
